setting classpath for java classes ( jar file ) in XUL , to access via javascript	V N P ^ N , ^ N , P ^ , P V P ^
Excerpt from https://cwiki.apache.org/WICKET/calling-wicket-from-javascript.html If you add any class that extends AbstractDefaultAjaxBehavior to your page , wicket- ajax.js will be added to the header ofyour web page . wicket- ajax.js provides you with two basic methods to call your component : and Here is an example : JavaScript $url$ is obtained from the method abstractDefaultAjaxBehavior.getCallbackUrl() . If you paste the String returned from that method into your browser , you'll invoke the respond method , the same applies for the javascript method . You can optionally add arguments by appending these to the URL string . They take the form foo =b ar . you get the optional arguments in the Java response method like this : or this :	G P U P O V D N P V ^ P D N , G G V V V P D N G N N , G G V O P $ A N P V D N , & N V D N , ^ G V V P D N ^ , P O V D N V P D N P D N , L V D V N , D A N P D ^ N , O V R V N P V O P D ^ N , O V D N G G G , O V D A N P D ^ N N P D , & D ,
I'm trying to write a Selenium test for a web page that uses an onbeforeunload event to prompt the user before leaving . Selenium doesn't seem to recognize the confirmation dialog that comes up , or to provide a way to hit OK or Cancel . Is there any way to do this ? I'm using the Java Selenium driver , if that's relevant .	L V P V D ^ N P D N N O V D ^ N P V D N P V , ^ V V P V D N N O V T , & P V D N P V N & N , V R D N P V D , L V D ^ ^ N , P L A ,
it was just a matter of adding ` js_eval " window.onbeforeunload =null "` before an open for me . ( selenium-client in Ruby , but you should be able to easily translate to other languages )	O V R D N P V , C , ^ G G P D A P O , , N P ^ , & O V V A P R V P A N ,
I read that you could call JavaScript code from a Java Applet by calling However , when I do this i get the following error : How do I work around this ?	O V P O V V ^ N P D ^ N P V R , R O V D G V D N N , R V O V P D ,
Nevermind , apparently my Firefox 3.0 . 3 on Ubuntu is bugged :) It works perfectly on other computers . Thanks !	! , R D ^ $ , $ P ^ V V E O V R P A N , N ,
I'd say this comes down to data grids . For Javascript frameworks : Jquery has ' plugins ' like this . Serverside : Telerik has asp.net controls like this . It really comes down to what platform mix you want to use . Also , why do you want to bind an asp.net page to IE instead of Firefox ? For a web application , my recommendation would be a mix of asp.net mvc and jquery . JQuery is in my view the best and most stable JavaScript framework out there . The problem is that asp.net mvc is still in ctp phase and it's probably not ' supported ' and ' stable ' enough in some eyes . I already finished a mid-scale commercial web app based on the mixture and was pleased with it .	L V D V T P N N , P ^ N , ^ V , N , P D , N , ^ V ^ N P D , O R V T P D N N O V P V , R , R V O V P V D ^ N P ^ R P ^ , P D N N , D N V V D N P ^ ^ & ^ , ^ V P D N D A & R A ^ N P R , D N V D ^ ^ V R P ^ N & L R R , V , & , A , A P D N , O R V D A N N N V P D N & V V P O ,
It sounds like EASA might meet your needs . It's a codeless app development tool in use at companies like Zurich , GE , HP . You may like to have a look at http://www.easasoftware.com/spreadsheets . Hope this helps .	O V P ^ V V D N , L D A N N N P V P N P ^ , ^ , ^ , O V V P V D V P U , V D V ,
How about Jython ? http://www.jython.org/Project /	R P ^ , U G
You have quite a few options : Groovy - http://groovy.codehaus.org Jython - http://www.jython.org/Project JRuby - http://jruby.codehaus.org Possibly even BeanShell ( http://www.beanshell.org ) I'm a fan of Python myself so I'd recommend Jython , but they're probably all reasonable options .	O V R D A N , ^ , U ^ , U ^ , U R R ^ , U , L D N P ^ O P L V ^ , & L R R A N ,
If you were to start from scratch in 2012 would you approach the " glue components together " differently ?	P O V P V P N P $ V O V D , V N R , R ,
Compiling should an be infinitesimal issue compared to incorporating a scripting language , in all the ways I can think of .	N V D V A N V P V D N N , P X D N O V V P ,
FYI , there's an error in your javascript emit . You're missing the right hand paren and semicolon , but you're also missing quotes around the supplied string . ... new talker ( "" + this.talker.getCallbackURL() + " ") ; " ; or something like that .	G , Y D N P D ^ G , L V D A N N & N , & L R A N P D A N , G G G G G G ^ G G G G G , & N P O ,
Write a Servlet that Talks to JMS ( ActiveMQ ) and OnMessage Update the Site	V D N P V P ^ , ^ , & ^ N D N
The problem with having a servlet implement MessageListener is that servlets are synchronous and MessageListeners are asynchronous . Instead you should create some other object to act as the MessageListener and update some state somewhere ( possibly a database or a JMX MBean or a Stateful Session EJB ) when messages come in . Then the servlet can query that state to see if there's data to report back to the client , and your web page can periodically ping the servlet to ask for fresh data .	D N P V D N V ^ V D N V A & ^ V A , R O V V D A N P V P D ^ & V D N R , R D N & D ^ ^ & D A N ^ , O N V T , R D N V N D N P V P Y N P V R P D N , & D N N V R V D N P V P A N ,
Integration of JavaScript and JMS	N P ^ & ^
You'll find some references to the Dojo / Bayeux approach here http://www.pathf.com/blogs/2006/08/bayeux_a_json_p If you're using WebSphere 6.0 or higher then the Web 2.0 Feature Pack includes an implementation .	L V D N P D ^ , ^ N R U P L V ^ $ & R R D ^ $ N N V D N ,
The Seam framework supports subscription to JMS topics from a JavaScript based client : http://docs.jboss.com/seam/2.0.2.GA/reference/en-US/html/remoting.html#d0e14169	D ^ N V N P ^ N P D ^ V N , U
I have used Selenium for exactly this task , but found it to be brittle . Check out this talk by two Googlers : Does my button look big in this ? Building testable AJAX applications They isolate the testable javascript ( non DOM-interaction ) and test that using the Rhino javascript engine .	O V V ^ P R D N , & V O P V A , V T D N P $ ^ , V D N V A P D , V A ^ N O V D A ^ , A ^ , & V O V D ^ ^ N ,
Yes it's possible . I've done the same thing with . NET : UI in ext-JS which communicates with the server trough JSON . In . NET world you can use DataContractSerializer ( class from WCF ) or JavascriptSerializer ( ASP.NET ) I'm sure that there's several good JSON Serializer in the Java world too . I used Jabsorb ( but not enough to give you a solid feedback ) . It appears that other people have tried : [ link text][2 ] [ 2 ]: http://extjs.com/forum/showthread.php?t=30759 forum ext-js	N L A , L V D A N P , ^ , ^ P ^ D V P D N G ^ , P , ^ N O V V ^ , N P ^ , & ^ , ^ , L A P Y A A ^ A P D ^ N R , O V ^ , & R A P V O D A N , , O V D A N V V , , N G , , $ , U G G
Take a look at Grails , it plays well together with ExtJS .	V D V P ^ , O V R R P ^ ,
Javascript is single-threaded and can't access the filesystem , so I don't think you have to worry about those . I'm not sure if there's a way to set a timeout to guard against infinite loops , but you could always spawn a ( Java ) thread that executes the script , and then kill the thread after so much time .	^ V A & V V D N , P O V V O V P V P O , L R A P Y D N P V D N P V P A N , & O V R V D , ^ , N O V D N , & R V D N P R A N ,
To block Java class and method access have a look at ... http://codeutopia.net/blog/2009/01/02/sandboxing-rhino-in-java /	P V ^ N & N N V D V P , U ,
This question discusses a very similar topic : compiling Java libraries to JavaScript using GWT . http://stackoverflow.com/questions/3125556/gwt-to-create-utility-javascript-library	D N V D R A N , V ^ N P ^ V ^ , U
This would be for a fairly small , non-gui java library . I hadn't seen DWR , which looks like it could be very useful for larger projects . I Didn't even see the source directory for the gwt-exporter project - thanks for pointing it out . That looks promising .	D V V P D R A , ^ ^ N , O V V ^ , O V P O V V R A P A N , O V R V D N N P D ^ N , N P V O T , O V V ,
And here's a new link : https://code.google.com/p/gwt-exporter/source/browse/samples/exporterdemo/src/main/java/exporterdemo/public/ExporterDemo.html	& L D A N , U
It seems I don't understand javascript callbacks quite as well as I thought . In the following example , I would think that each copy of function in setTimeout would refer to its own copy of the variable " index " . Therefore , running the example should produce the following alerts : " zero " " one " " two " . However , it seems that theres only one copy of the index variable , and all copies of the callback function point to the same variable , giving me the following alerts : " two " " two " " two " . The following analagous ( I thought ) example in java prints " zero " " one " " two " , as expected . Can anyone explain to me why the js example doesn't work , and perhaps compare what's going on in the two examples ?	O V O V V ^ N R R R P O V , P D N N , O V V P D N P N P ^ V V P L A N P D A , N , , R , V D N V V D N V , , $ , , $ , , $ , , R , O V P O A $ N P D N N , & D N P D N N N P D A N , V O D N N , , $ , , $ , , $ , , ^ V A , O V , N P ^ V , $ , , $ , , $ , , P V , V O V P O R D ^ N V N , & R V L V P P D $ N ,
index changes with each iteration of the loop . What you want is to place index into a closure not affected by the loop :	N V P D N P D N , O O V V P N N P D N R V P D N ,
@morgancodes : that's just convention ; also , there might be some cases where the parser might otherwise produce incorrect results	@ , L R N , R , X V V D N R D N V R V A N
In javascript the for loop does not have it's own scope - so a var you create inside a loop is not different from one defined outside of it .	P ^ D P N V R V L A N , P D N O V P D N V R A P $ A N P O ,
I've got a JSP page with a piece of Javascript validation code which limits to a certain amount of characters on submit . I'm using a textarea so I can't simply use a length attribute like in a input type= " text " . I use document.getElementById ( " text ") . value.length to get the string length . I'm running Firefox 3.0 on Windows ( but I've tested this behavior with IE 6 also ) . The form gets submitted to a J2EE servlet . In my Java servlet the string length of the parameter is larger than 2000 ! I've noticed that this can easily be reproduced by adding carriage returns in the textarea . I've used Firebug to assert the length of the textare and it really is 2000 characters long . On the Java side though , the carriage returns get converted to UNIX style ( rn , instead of n ) , thus the string length differs ! Am I missing something obvious here or what ? If not , how would you reliably ( cross-platform / browser ) make sure that the textarea is limited .	L V D ^ N P D N P ^ N N D N P D A N P N P V , L V D N P O V R V D N V V P D N N , N , , O V ^ G G G G , ^ P V D N N , L V ^ $ P ^ , & L V D N P ^ $ R , , D N V V P D ^ N , P D ^ V D N N P D N V R P $ , L V P D V R V V P V N V P D N , L V ^ P V D N P D N & O R V $ N R , P D ^ N P , D N N V V P ^ N , N , R P ^ , , R D N N V , V O V R A R & O , P R , R V O R , E E E , V A P D N V A ,
OK . I get it . I guess that means that Javascript always represents carriage returns the UNIX way internally and through its APIs ( i.e. ` length() `) . Somehow I gets converted to ` rn ` because the Java VM is running on Windows . I wish it was more uniform ...	A , O V O , O V O V D ^ R V N V D ^ N R & P D ^ , ^ , ^ , , R O V V P , G , P D ^ ^ V V P ^ , O V O V A N ,
Are you limiting it to 2000 chars so it fits inside an nvarchar ( 2000 ) column in a database ? Otherwise maybe just allow a 2% overrun to be flexible on the Java side . And Java should be using Unicode UTF16 to represent Strings . That / r must have got in there somewhere else , maybe a conversion in the web browser when submitting ? Have you tried different browsers ? On different platforms ? You might just have to strip out the / r s .	V O V O P $ N P O V P D ^ , $ , N P D N , R R R V D $ N P V A P D ^ N , ^ ^ V V V ^ ^ P V ^ , O , V V V V T R R R , R D N P D N N R V , V O V A N , R A N , O V R V P N P D G G G ,
It should be `" rn "` , not `" nr "` .	O V V G G G , R G G G ,
HI , I started implementing a HTML Browser in Swing . I want to use the Lobo Cobra toolkit because this toolkit inclused a renderer and parser for CSS and JavaScript . The pages are looking very nice and it is easy to use ( one class implementation to show a html page ) . I want to show HTML pages in swing which can show javascript generated and modified objects , like a flashing circle . As far as i know , the cobra toolkit can show static javascript commands like ' document.write ' or closwWindow() implementations , but not updating the GUI from a JavaScript . Did someone works with Lobo Cobra Toolkit before and give me some sample code or tips for showing HTML pages with animated JavaScript objects inside .	! , O V V D ^ N P ^ , O V P V D ^ ^ N P D N V D N & N P ^ & ^ , D N V V R A & O V A P V , $ N N P V D ^ N , , O V P N ^ N P ^ O V N ^ V & A N , P D N N , R R P O V , D ^ N V V A ^ N V , ^ , & ^ N , & R V D ^ P D ^ , V O V P ^ ^ ^ P & V O D N N & N P V ^ N P V ^ N P ,
This error is from the compiler , complaining that it can't find that type in it's classpath . For the GWT compiler to find your classes they have to be and in your classpath , and they have to be referenced in a . gwt.xml module file as well . Can you post your package names and the contents of your . gwt.xml files ? My guess is that wherever you have put this class it's not visible to the GWT compiler .	D N V P D N , V P O V V D N P L N , P D ^ N P V D N O V P V & P D N , & O V P V V P D , ^ N N P R , V O V D N N & D N P D , ^ N , D N V O R O V V D N L R A P D ^ N ,
Q1 : no Q2 : yes , but I don't know how portable that is : That outputs a table of all plugins , versions should be contained . I think you have to loop over all the plugins , check if ' java ' is contained in the name and then parse the version from description ...	N , D N , ! , & O V V R A O V , O N D N P D N , N V V A , O V O V P N P X D N , V P , ^ , V V P D N & R P D N P N ,
We actually already serve an applet to determine the VM as we have two versions , one of which works around bugs in MS JVM ( but doesn't work on Sun ) and one of which is the other way round . The powers that be think this approach is too clunky going forward , so I'm tasked with looking for another way .	O R R V D N P V D ^ P O V $ N , $ P O V P N P ^ ^ , & V V P ^ , & $ P O V D A N N , D N O V V D N V R A V R , P L V P V P D N ,
Well , I have to admit I didn't go beyond testing it actually worked .	! , O V P V O V V P V O R V ,
So the whole TCP / IP checksum thing isn't working ... I'm thinking that anything corrupted in transit is going to get rejected at a much lower layer than the application level .	P D A ^ , ^ N N V V , L V D O V P N V V P V V P D R A N P D N N ,
[ UPDATE 30 / 5 / 2013 : The link to the old JS CRC32 implementation died , so I've now linked to a different one . ] Google CRC32 : fast , and much lighter weight than MD5 et al . There is a Javascript implementation here .	G G G G G G G G D N P D A ^ ^ N V , P L R V P D A O , , ^ ^ , A , & R A N P ^ & N , X V D ^ N R ,
CRC32 is not too hard to implement in any language , it is good enough to detect simple data corruption and when implemted in a good fashion , it is very fast . However you can also try Adler32 , which is almost equally good as CRC32 , but it's even easier to implement ( and about equally fast ) . Adler32 in the Wikipedia CRC32 JavaScript implementation sample Either of these two ( or maybe even both ) are available in Java right out of the box .	^ V R R R P V P D N , O V A A P V A N N & R V P D A N , O V R R , R O V R V ^ , O V R R A P ^ , & L R A P V , & P R R , , ^ P D ^ ^ ^ N N X P D $ , & R R X , V A P ^ R R P D N ,
Javascript implementation of MD4 , MD5 and SHA1 . BSD license .	^ N P ^ , ^ & ^ , ^ N ,
@dtsazza : I wonder about the malicious / mischievous users who can mangle packets going across the network , but can't defeat Javascript . Or Adler32 .	@ , O V P D A , A N O V A N V P D N , & V V ^ , & ^ ,
This is a rather old thread but I suspect it is still viewed quite often so - if all you need is a short but reliable piece of code to generate a checksum the Adler32 bit algorithm has to be your choice . Here is the JavaScript code The corresponding fiddle demonsrating the algorithm in action is here .	D V D R A N & O V O V R V R R R , P X O V V D A & A N P N P V D N D ^ N N V P V D N , R V D ^ N D A N V D N P N V R ,
Check out the code in the Java Deployment Toolkit .	V T D N P D ^ ^ ^ ,
Googling for detect " java version " using javascript yields a couple of results , this one looks like it might be useful . In essence , it tries to load a Java applet and then JavaScript asks the applet .	V P V , ^ N , V ^ V D N P N , D N V P O V V A , P N , O V P N D ^ N & R ^ V D N ,
According to the fact that we're finding this page with google , just to help the next guys finding this . Is Java installed ? http://www.w3schools.com/jsref/met_nav_javaenabled.asp Which version of Java is installed ? http://java.sun.com/javase/6/docs/technotes/guides/jweb/deployment_advice.html#deplToolkit It's the best way I found to find the version of Java with JavaScript , but use it carefully because its version detection is really os / browser dependent , and on old browser version or on recent browser with old Java installed , it'll not work as expected . Take the time to do real tests before to use it in production .	V P D N P L V D N P ^ , R P V D A N V D , V ^ V , U D N P ^ V V , U L D A N O V P V D N P ^ P ^ , & V O R P D N N V R N , N A , & P A N N & P A N P A ^ V , L R V P V , V D N P V A N P P V O P N ,
Yeah ... just make it more explicite for thoses who doesn't understand everything on the page he gave , or if ever the link dies ... or just to save some time to the next guys who find this page via Google . I didn't mean to steal one's good answer .	! , R V O A A P V O V V N P D N O V , & P R D N V , & R P V D N P D A N O V D N P ^ , O V V P V L A N ,
@PatrickMcElhaney : Right . And there's a reason for those restrictions on new users . But I'm not going to prolong the discussion . :-) Best ,	@ , ! , & Y D N P D N P A N , & L R V P V D N , E A ,
JavaVersion does not work under MSIE since navigator.mimeTypes is always empty on this browser ( tested on MSIE7 )	^ V R V P ^ P ^ V R A P D N , V P ^ ,
How to access objects / arrays defined in JavaScript from Java applets	R P N N , N V P ^ P ^ N
@andynormancx Yes . That processing cannot cast from Object to JSObject .	@ ! , O V V N P ^ P ^ ,
Yes , but I don't get why you expect it to get the " foo " object . " JavaScript object " just means it's a object from JavaScript that's been translated to a Java object , specifically JSObject .	! , & O V V R O V O P V D , ^ , N , , ^ N , R V L D N P ^ L V V P D ^ N , R ^ ,
Random guess : try clearing your classloader cache ? Bring up your Java console ( Tools - Java console in FF , or right click on the Java icon in your systray and pick the console ) , and hit x to clear it , then reload .	A N , V V D N N , V T D ^ V , N , ^ V P ^ , & R V P D ^ N P D N & V D N , , & V N P A O , R A ,
There's another problem , how may I assign it the values I get to a variable . The type appears to be an Object and I can't cast it to float or string .	L D N , R V O V O D V O V P D A , D N V P V D N & O V V O P V & N ,
This will not work if the strings contain characters such as double-quote , backslash or newline . Such characters will need to be escaped .	D V R V P D N V N R P N , N & N , A N V V P V V ,
Exp Language :	^ N ,
You don't want to build this yourself . Fortunately , there are a number of open source javascript engines you might be able to adapt .	O V V P V D O , R , X V D N P A N ^ N O V V A P V ,
I'd look at Lobo . It sounds like just want you want . It has a HTML Renderer and parser , and some support for Javascript . If it's missing a feature of Javascript that you need , it seems like it would easier to contribute to Lobo , instead of reinventing the wheel .	L V P ^ , O V V R V O V , O V D ^ N & N , & D N P ^ , P L V D N P ^ P O V , O V P O V A P V P ^ , R P V D N ,
News today : http://weblogs.java.net/blog/alex2d/archive/2008/12/jwebpane_projec.html	N N , U
You can easily get Google Finance data via YQL which is simple and REST based . An example can be found here : http://www.jarloo.com/google-finance-and-yql /	O V R V ^ ^ ^ P ^ O V A & ^ V , D N V V V R , U ,
There's a whole API for managing portfolios . * Link removed . Google no longer provides an developer API for this . Getting stock quotes is a little harder . I found one article where someone got stock quotes using Google Spreadsheets . Here is another example of that . You can also use the gadgets but I guess that's not what you're after . The API you mention is interesting but doesn't seem to be documented ( as far as I've been able to find anyway ) . Here is some information on historical prices , just for reference sake .	L D A ^ P V N , , V V , ^ R A V D N ^ P D , V N N V D A A , O V O N R O V N N V ^ ^ , R V D N P O , O V R V D N & O V L R O L P , D ^ O V V A & V V P V V , R R P L V A P V R , , R V D N P A N , R P N N ,
Perhaps of interest , the Google Finance API documentaton includes a section detailing how to access different parameters via JavaScript . I suppose the JavaScript API might be a wrapper to the JSON request you mention above ... perhaps you could check which HTTP requests are being sent .	R P N , D ^ ^ ^ ^ V D N V R P V A N P ^ , O V D ^ ^ V V D N P D ^ V O V P , R O V V D ^ N V V V ,
The Google Finance Gadget API has been officially deprecated since October 2012 , but as of April 2014 , it's still active : http://www.google.com/finance/info?q=NASDAQ:GOOG http://www.google.com/finance/info?q=CURRENCY:GBPUSD http://finance.google.com/finance/info?client=ig q=AAPL , YHOO You can also get charts : https://www.google.com/finance/getchart?q=YELP Note that if your application is for public consumption , using the Google Finance API is against Google's terms of service . Check google-finance-get-stock-quote-realtime for the complete code in python	D ^ ^ ^ ^ V V R A P ^ G , & R P ^ G , L R A , U U U G , ^ O V R V N , U V O P D N V P A N , V D ^ ^ ^ V P Z N P N , V G P D A N P ^
Building upon the shoulders of giants...here's a one-liner I wrote to zap all of Google's current stock data into local Bash shell variables : Then you will have variables like $GF_last $GF_open $GF_volume etc . readily available . Run env or see inside / tmp / stockprice.tmp.log So for stock= " FBM " / tmp / stockprice.tmp.log ( and your environment ) will contain :	N P D N P L D N O V P V R P Z A N N P A ^ N N , R O V V N P G G G G , R A , V ^ & V P , G G G P P G , G G G G G G G & O N , V V ,
The problem with Yahoo and Google data is that it violates terms of service if you're using it for commercial use . When your site / app is still small it's not biggie , but as soon as you grow a little you start getting cease and desists from the exchanges . A licensed solution example is FinancialContent : http://www.financialcontent.com/json.php or Xignite	D N P ^ & ^ N V P O V N P N P L V O P N V , R D N , N V R A L R N , & R R P O V D A O V V V & N P D N , D A N N V ^ , U & ^
Thanks a lot for your answer . But I need the realtime data in json along with the volume traded , is there any rest services ?	V D N P D N , & O V D N N P ^ P P D N V , V R D N N ,
No Sir , Dont have any idea of VBA or VBS , but will check this definitely , Can you provide me the URL , which results in the realtime stock quote along with volume information ?	D ^ , V V D N P ^ & ^ , & V V D R , V O V O D ^ , D N P D N N V P P N N ,
Thanks a lot brother .. :-)	V D N N , E
How to resize a java applet when the browser is resized ?	R P V D ^ N R D N V V ,
My vote is for this method . I've basically done this same thing to resize ActiveX controls . It should work the same for an Applet .	D N V P D N , L R V D A N P V ^ N , O V V D A P D N ,
In netbeans I created an html page in which I am using Yahoo utils . If I type " yahoo . " then namespace , render , hide are not visible in the interactive documentation . Please tell me how to configure Netbeans to handle this .	P ^ O V D ^ N P D O V V ^ N , P O V , ^ , , R N , N , N V R A P D A N , V V O R P V ^ P V D ,
You could always use an XMLHttpRequest to send the data . This can be done with our without user interaction on an element such as a form submit button . jQuery has functionality built in for assisting with such requests . http://docs.jquery.com/Ajax	O V R V D ^ P V D N , D V V V P D P N N P D N R P D N V N , ^ V N V P P V P A N , U
You're probably going the wrong way here . You didn't provide the html code , but I assume it is something like this : If that is correct , then you should say $ ( " #data ") . val ( xml ); instead of text() or html() as those change the matched thing with text or html you provide . This should work for your current solution . Also I'd propose to look at jQuery's $ . post() and others as an alternative to packing everything as xml unless this is really what you want on the backend . It could be easier to just make up a javascript object with all the values keyed by some names and pass it on to one of jQuery's $ . post() , $ . get() , etc . like this : Actually it only occured to me now that you can also send your xml this way ( unless you prefer your way of doing things ): You might want to enlighten yourself more here : Ajax @ jQuery docs	L R V D A N R , O V V D ^ N , & O V O V N P D , P O V A , R O V V , , G G , G G , ^ , R P ^ & ^ P O V D V N P N & ^ O V , D V V P D A N , R L V P V P Z , , ^ & N P D N P V N P ^ P D V R O O V P D N , O V V A P R V T D ^ N P X D N V P D N & V O P P $ P Z , , ^ , , , ^ , G , P D , R O R V P O R P O V R V D ^ D N , P O V D N P V N , O V V P V O R R , ^ P ^ N
I've solved a slightly similar problem by using the GeoNames webservices . You can use the webservice to request cities and so on . There is a per-ip-limitation you may not exceed . I searched a little further and there's something interesting for you . The webservice is called findNearByWikipedia . It may be the thing you're searching for ...	L V D R A N P V D ^ N , O V V D N P V N & R P , X V D N O V R V , O V D A A & L N A P O , D N V V ^ , O V V D N L V P ,
Not sure I have a complete grasp of what you are trying to achieve , but I'll give it a try anyway : My assumption is that your final goal is to make some files ( PDF , HTML ) available to end users via a web application . In that case , why not have Apache serve those file to the end users , so you only need your JBOSS application to know the path of a directory that is mapped to an Apache virtual host . So basically , create a file and save it as / var / www / html / myappfiles / tempfile.pdf ( the folder your application knows ) , and then provide http://mydomain.com/myappfiles ( an Apache virtual host ) to your users . The rest will be done by the web server . You will have to set an environment variable or system property to let your application know where your folder resides (/ var / www / html / myappfiles in this example ) . Hopefully I was not way off :)	R A O V D A N P O O V V P V , & L V O D N R , D N V P D A N V P V D N , ^ , ^ , A P N N P D N N , P D N , R R V ^ N O N P D N N , P O R V D ^ N P V D N P D N P V V P D ^ A N , P R , V D N & V O P , ^ , ^ , ^ , N , N , D N D N V , , & R V U , D ^ A N , P D N , D N V V V P D N N , O V V P V D N N & N N P V D N V R D N V G G G G G G G G P D N , , R O V R R R E
I did something like this , and it worked great . Thanks	O V N P D , & O V A , N
With GWT , you're not actually writing JavaScript ; it's entire value proposition is that you can write Java that it will compile down to JavaScript for you .	P ^ , L R R V ^ , L A N N V P O V V ^ P O V V T P ^ P O ,
Yes , it does , since you'll be using Java and not Javascript . Superb IDEs , static code analysis , searching and refactoring - all this will make your life much easier on large projects .	! , O V , P L V V ^ & R ^ , A ^ , A N N , N & N , X D V V D N R A P A N ,
Another difference is that , besides being a much more mature technology , assembler is very highly tuned towards a single architecture . The same cannot be said of Javascript , which must support scores of different browsers and version .	D N V O , P V D A R A N , N V R R A P D A N , D O N V V P ^ , O V N N P A N & N ,
Using GWT is really no different then using jQuery or Prototype . If there is a bug in the library you are using , it will make your life difficult . The same problems exist for GWT . The difference is that GWT has Google's developers backing it up , not just the few people behind the other libraries .	V ^ V R R A R V ^ & ^ , P X V D N P D N O V V , O V V D N A , D A N V P ^ , D N V D ^ V Z N V O T , R R D A N P D A N ,
What happened to Rhino ? Is it still under active development ?	O V P ^ , V O R P A N ,
According to a post last week at http://groups.google.com/group/mozilla.dev.tech.js-engine.rhino/topics	V P D N A N P U
Big help , thanks	A N , !
if you happen to be trying to do this within ant , you might see this error : but you can sidestep it :	P O V P V V P V D P ^ , O V V D N , & O V V O ,
I have a large applet that takes some 40 seconds to initialize ( cabs are cached so ignore download time for this question ) . The issue is , if the user goes to Page A which launches the applet ( single window ) and then navigates to page B , the applet is unloaded . If the user goes back to Page A , they incur the 40 seconds init time once again . I'd like to be able to launch the applet , incurring the 40 seconds init time once and only once . The applet needs to reside inside a single browser window ( the same window as my web application ) . In other words , I cannot launch the applet in a popup . Does anyone have any creative ideas around how to prevent the applet unloading ?	O V D A N O V D $ N P ^ , N V V P V N N P D N , , D N V , P D N V P N N O V D N , A N , & R V P N N , D N V V , P D N V R P N N , O V D $ N N N R R , L V P V A P V D N , V D $ N N N R & R R , D N V P V P D A N N , D A N P D N N , , P A N , O V V D N P D N , V O V D A N P R P V D N V ,
I thought maybe there'd be a way to popup a tiny browser window and have the applet load in that , then using Javascript somehow pull in the applet from the smaller window into the larger browser . I don't think I can manipulate the DOM in this way though . Any other ideas ?	O V R L V D N P V D A N N & V D N N P O , R V ^ R V P D N P D A N P D A N , O V V O V V D ^ P D N P , D A N ,
this doesn't works always . ( 1 ) If its disabled in firefox it says not installed . ( 2 ) on lion os x , even when its disabled in all browsers , it tells installed	D V V R , G $ G P L A P ^ O V R V , G $ G P ^ ^ $ , R R L A P D N , O V V
I'm using dwr and spring and I get this error : java.lang.IllegalArgumentException : Javascript name * is used by 2 classes I found nothing helpful on Google , do you know why I'm getting this error ?	L V ^ & ^ & O V D N , ^ , ^ N , V V P $ N O V R A P ^ , V O V R L V D N ,
+1 for answering your own question	$ P V D A N
Thanks , that's perfect .	N , L A ,
XML is presented as a DOM tree to JavaScript	^ V V P D ^ N P ^
You can't run Java methods with Javascript . The only thing you could do is to read the properties of the Java object - this is the only information that is serialized in the XML file . It is very easy to read XML with javascript . To be able to serialize a Java object , send it to a client and execute Java code there a totally different architecture would be needed . At first you need Java running on the client too . Then you would need to employ a method like RMI .	O V V ^ N P ^ , D A N O V V V P V D N P D ^ N , O V D A N P V V P D ^ N , O V R A P V ^ P ^ , P V A P V D ^ N , V O P D N & V ^ N X D R A N V V V , P R O V ^ V P D N R , R O V V P V D N P ^ ,
+1 XStream supports JSON out of the box .	$ ^ V ^ T P D N ,
Wouldn't the this : while ( receiver.available() & & ! eof ) be better ? in lieu of the first while ( receiver.available() ) ?	V D D , ^ , ^ = = = ^ , V R , P O P D A ^ G ^ G ,
Ok . What's the value of eof when the code reaches this comment ? // at this point response does contain the expected HTTP response What's the symptom ? I assume it's an infinite loop ?	N , L D N P ^ R D N V D N , = P D N N V V D V ^ N L D N , O V L D A N ,
Right . But read() will block until either EOF is reached or there is more data , and Javascript is single-threaded so we don't want to issue a read without knowing for certain we have data to read . And available() can return 0 during transmission , so we can't use that to test for EOF .	! , & ^ V N P & ^ V V & X V A N , & ^ V A P O V V P V N N P V P A O V N P V , & ^ V V $ P N , P O V V O P V P ^ ,
Thanks , very valid point . Though it doesn't have to be javascript compression . Maybe some process , just initiated by javascript ?	N , R A N , P O V V P V ^ N , R D N , R V P ^ ,
Thanks , very valid point . Though it doesn't have to be javascript compression . Maybe some process , just initiated by javascript ?	N , R A N , P O V V P V ^ N , R D N , R V P ^ ,
Try using this library : http://code.google.com/p/gwt-voices /	V V D N , U ,
Tools for coding conventions and analyzing HTML , CSS , Javascript client side code	N P N N & N ^ , ^ , ^ N N N
W3C has a Markup Validation Service for validating ( X ) HTML . Also , W3C has tools : For CSS For Atom RSS feeds And JSLint is a tool for checking your JavaScript .	^ V D ^ ^ N P V G G G ^ , R , ^ V N , P ^ P ^ ^ N & ^ V D N P V D ^ ,
Tools for coding conventions and analyzing HTML , CSS , Javascript client side code	N P N N & V ^ , ^ , ^ N N N
W3C has a Markup Validation Service for validating ( X ) HTML . Also , W3C has tools : For CSS For Atom RSS feeds And JSLint is a tool for checking your JavaScript .	^ V D ^ N N P V G G G ^ , R , ^ V N , P ^ P ^ ^ N ^ ^ V D N P V D N ,
How would I write a Java regex that gets the contents of a	R V O V D ^ ^ O V D N P D
