javascript / XUL invoking java ? interesting ... any ref ?	^ , ^ V ^ , A , D N ,
You can use RelProxy - Java , it provides real and pure Java as a scripting language , including shell scripts made with Java , thanks to its compilation on the fly . Because the Java " script " is executed sharing the launcher ClassLoader , integration is straightforward .	O V V ^ , ^ , O V A & A ^ P D N N , V N N V P ^ , N P D N P D N , P D ^ , N , V V V D N ^ , N V A ,
If I understand this correctly , every time a car manufacturer is added or removed from the Map , I'd have to add or remove the appropriate select tag in the JSP . Since I get this Map from a vendor's web service , I have no way of knowing how many elements the Map might have .	P O V D R , D N D N N V V & V P D N , L V P V & V D A N N P D ^ , P O V D N P D S N N , O V D N P V R A N D N V V ,
I might not be allowed to use JQuery . They're a bit touchy when it comes to introducing new frameworks in the app . But , if I can't get it to work any other way , I'll just have to get my boss to convince the business guys that that's the only way to do it . However , the larger issue is getting the map	O V R V V P V ^ , L D N R R O V P V A N P D N , & , P O V V O P V D A N , L R V P V D N P V D N N P L D A N P V O , R , D A N V V D N
I just love a challenge . No jQuery , just plain javascript , tested on Safari . I'd like to add the following remarks in advance : It's faily long due to the error checking . Two parts are generated ; the first script node with the Map and the contents of the manufacterer SELECT Works on My Machine ( TM ) ( Safari / OS X ) There is no ( css ) styling applied . I have bad taste so it's no use anyway . .	O R V D N , D ^ , R A ^ , V P ^ , L V P V D N V P N , L R R A P D N N , $ N V V , D A N N P D N & D N P D N ^ V P D N , ^ , , ^ , ^ ^ , X V R , ^ , V V , O V A N P L D , R , ,
Here is a working , cut-and-paste answer in jsp without any tag libraries or external dependencies whatsoever . The map with models is hardcoded but shouldn't pose any problems . I separated this answer from my previous answer as the added JSP does not improve readability . And in ' real life ' I would not burden my JSP with all the embedded logic but put it in a class somewhere . Or use tags . All that " first " stuff is to prevent superfluos " , " in the generated code . Using a foreach dosn't give you any knowledge about the amount of elements , so you check for last . You can also skip the first-element handling and strip the last " , " afterwards by decreasing the builder length by 1 .	R V D V , A N P ^ P D N N & A N R , D N P N V A & V V D N , O V D N P D A N P D V ^ V R V N , & P , A N , O V R V D ^ P X D V N & V O P D N R , & V N , X D , A , N V P V G , , , P D V N , V D ^ V V O D N P D N P N , P O V P A , O V R V D A N & N D A , , , R P V D N N P $ ,
This isn't a perfect solution , but if you check the Content-Length HTTP header with request.getHeader ( " Content-Length ") then you can choose to not transfer the entire file . By way of explanation , an extremely large file will not be transferred all at once . You'd have to actually open a stream representing that chunk of POST data and read from it for the entire thing to be transfered . On the other hand , if you're worried about denial-of-service attacks , then you can't really trust the Content-Length header , because it can easily be forged . In this case , you should set a limit and stream a transfer of this file , stopping as soon as you've exceeded that limit .	D V D A N , & P O V D ^ ^ N P ^ , , ^ ^ R O V V P R V D A N , P N P N , D R A N V R V V R P R , L V P R A D N V D N P ^ ^ & V P O P D A N P V V , P D A N , P L A P ^ N , R O V R V D ^ N , P O V R V V , P D N , O V V D N & V D N P D N , V R R P L V D N ,
If I can do this , how do I call Java code ( methods for instance ) from within JavaScript code , in Wicket .	P O V V D , R V O V ^ N , N P N , P P ^ N , P ^ ,
erk . The correct answer would be ajax call backs . You can either manually code the js to hook into the wicket js , or you can setup the callbacks from wicket components in java . For example , from AjaxLazyLoadPanel : This example shows how to add call back code to any Component in Wicket . After the OnDomReady event fires in your browser , when loading a page , Wicket will cause it's js enging , to call back into your code , using Ajax , to the ' respond ' method shown above , at which point you can execute Java code on the server , and potentially add components to the ajax target to be re-rendered . To do it manually , from js , you can hook into wicket's system by printing out getCallbackScript() . toString() to a attribute on a wicket component , which you'll then be able to access from js . Calling this url from js manually with wicket's wicketAjaxGet from wicket- ajax.js . Check out the mailing list for lot's of conversation on this topic : http://www.nabble.com/Wicket-and-javascript-ts24336438.html#a24336438	N , D A N V V ^ N N , O V R R N D ^ P V P D ^ ^ , & O V V D ^ P ^ N P ^ , P N , P ^ , D N V R P V N N N P D N P ^ , P D ^ N V P D N , O V D N , ^ V P L ^ N , P V R P D N , V ^ , P D , ^ , N V P , P D N O V V ^ N P D N , & R V N P D ^ N P V A , P V O R , P ^ , O V V P Z N P V T ^ , ^ P D N P D ^ N , D L R V A P N P ^ , V D N P ^ R P ^ ^ P G G , V T D N N P G P N P D N , U
Oh , and a gotcha : the URL returned by ` getCallbackUrl() ` can change during the component construction cycle . It's often inaccurate if you try to use it in the constructor , and callbacks will fail as a result . I've had success using it in an override of the component's ` onBeforeRender() ` instead .	! , & D G , D ^ V P , ^ , V V P D N N N , L R A P O V P V O P D N , & N V V P D N , L V N V O P D N P D S , ^ , R ,
You could write a user extension ( or just some JavaScript in a storeEval etc ) that tests that window.onbeforeunload is set , and then replaces it with null before continuing on from the page . Ugly , but ought to get you off the page .	O V V D N N , & R D ^ P D ^ G , O V D ^ V V , & R V O P A P V P P D N , A , & V P V O T D N ,
I've just had to do this for an application of mine where the onbeforeunload handler brings up a prompt if a user leaves a page while a document is in an unsaved state . Python code : The Java equivalent would be : If the alert does not exist , the code above will fail with a NoAlertPresentException so there is no need for a separate test to check the existence before accepting the prompt . I'm running Selenium 2.43 . 0 but I think this has been doable for a while now . In cases where I don't want the prompt to come up at all because that's not what I'm testing , I run custom JavaScript in the browser to set window.onbeforeunload to null before leaving the page . I put this in the test teardown code .	L R V P V D P D N P O R D ^ N V T D N P D N V D N P D N V P D A N , ^ N , D ^ N V V , P D N V R V , D N P V V P D ^ P X V D V P D A N P V D N P V D A , L V ^ $ , $ & O V D V V R P D N R , P N R O V V D V P V T P R P L R O L V , O V A ^ P D N P V ^ P N P V D N , O V D P D N N N ,
I get the same exception as you do because of that the URL class does not accept javascript : as a valid protocol . There is a workaround though ; supply an URLStreamHandler to the URL constructor . Example :	O V D A N P O V P P O D ^ N V R V ^ , P D A N , X V D N P , V D ^ P D ^ N , N ,
I've been in a team that has built this using a . NET + jQuery setup - it's not fun , and makes your mind MELT . If you have the option of using a silverlight grid I'd take that option over javascript .	L V P D N P V V D V D G ^ & ^ N , L R A , & V D N V , P O V D N P V D ^ N L V D N P ^ ,
Check out SpreadsheetGear , as is a . Net component that will allow you to read / write Excel files and execute macros . You can preserve the logic of the spreadsheets and use them to power you web site . For a front end you may want to check out Telerik as people have created a spreadsheet like interface with the Telerik grid control .	V T ^ , P V D G ^ N O V V O P V , V ^ N & V N , O V V D N P D N & V O P N O N N , P D A N O V V P V T ^ P N V V D N P N P D ^ N N ,
Scripting in Java	V P ^
Java supports a variety of ( scripting ) languages , some are listed in Wikipedia here and here . You probably should choose language with powerful DSL and metaprogramming capabilities , such as Clojure . But if you need something simpler , JavaScript might be a viable alternative .	^ V D N P , N , N , D V V P ^ R & R , O R V V N P A ^ & N N , A P ^ , & P O V N R , ^ V V D A N ,
I am a big fan of Python / Jython due to the clean syntax - which may suit you if you have some python experience . Otherwise Groovy which is based on Java syntax and may be an easier learning curve if most of your developers are Java guys . It also has the advantage of closer ties with the Java language and libraries . Beanshell is good if you have simple scripting in mind - it doesn't support classes . However I don't think it has had any support over the last few years ( the JSR seemed to kill it off ... ) so is perhaps a bad choice if support is important to you .	O V D A N P ^ , ^ A P D A N , O V V O P O V D ^ N , R ^ O V V P ^ N & V V D A N N P R P D N V ^ N , O R V D N P A N P D ^ N & N , ^ V A P O V A N P N , O V V N , R O V V O V V D N P D A A N , D ^ V P V O T , , P V R D A N P N V A P O ,
But Java has support for ( re- ) loading classes , and using some thought and reflection will take you a long way . If necessary .	& ^ V V P G G G V N , & V D N & N V V O D A N , P A ,
Wicket + Javascript	^ & ^
please show a link to GridAjaxBehavior - i know wicket a bit , but GridAjaxBehavior is new to me . is this a custom developed behavior	V V D N P ^ , O V ^ D N , & ^ V A P O , V D D A A N
You probably need to get a JMS connection from JNDI , like this :	O R V P V D ^ N P ^ , P D ,
Have you tried reading the answers for this question which links to the ActiveMQ Ajax support . Basically ActiveMQ has native support for Ajax so you can use its JavaScript library to directly subscribe from an ActiveMQ topic . Also see the ActiveMQ web samples which show how to do things like real time chat or real time stock portfolio screens using Ajax with ActiveMQ	V O V V D N P D N D N P D ^ ^ N , R ^ V A N P ^ P O V V L ^ N P R V P D ^ N , R V D ^ N N D V R P V N R A N N & A N N N N V ^ P ^
I would try using DWR to integrate JavaScript with your Java app . It makes Java to JavaScript communication transparent and only requires one servlet + configuration of what to expose . I haven t done this with JMS , but it should work the same . There are three technologies that together solve all my integration problems , Spring , Mule , and DWR .	O V V V ^ P V ^ P D ^ N , O V ^ P ^ N A & R V $ N & N P O P V , O G G V D P ^ , & O V V D A , X V $ N P R V X D N N , ^ , ^ , & ^ ,
I was able to get the examples to work on Version 5.0 of ActiveMQ . However they have trouble running in 5.1 . Which version of ActiveMQ are you running ?	O V A P V D N P N P N $ P ^ , R O V N V P $ , D N P ^ V O V ,
What's the best , crossplatform way to perform blackbox tests on AJAX web applications ? Ideally , the solution should have the following attributes : Able to integrate into a continuous integration build loop Cross platform so I you can run it on Windows laptops and Linux continuous integration servers Easy way to script the interactions Free-as-in-freedom so you can adapt it into your tool chain if necessary I've looked into HttpUnit but I'm not conviced it can handle AJAX-heavy websites .	L D A , A N P V N N P ^ N N , R , D N V V D N N , A P V P D A N V N N N P O O V V O P ^ N & ^ A N N A N P N D N G P O V V O P D N N P A L V P ^ & L R G O V V ^ N ,
We want to try Ext JS on new project . Is there any well-known best practice for integrating Ext JS with server side Java ( Spring / Hibernate / JS ) application ? Is DWR a good choice for that ?	O V P V ^ ^ P A N , V R D A A N P V ^ ^ P N N ^ , ^ , ^ , ^ , N , V P D A N P O ,
My team has been using Ext with DWR for almost year a year , and have had nothing but good things to say . If you take this approach , you will end up using DWR's generated JavaScript classes for making your requests to the server . This will often be done in place of using the Ext.Ajax and Ext.data.Connection classes . When you use a class that require an Ext.data.Store ( e.g. grip , combo box , etc . ) and you want to fetch data from the server , you will need to use a proxy that can link in with DWR . The user-community provided Ext.ux.data.DWRProxy has worked flawlessly for us : http://extjs.com/forum/showthread.php?t=23884 .	D N V V V ^ P ^ P R A D N , & V V A & A N P V , P O V D N , O V N T V Z V ^ N P V D N P D N , D V R V V P N P V D ^ & ^ N , R O V D N P V D ^ , G N , N N , G , , & O V P V N P D N , O V V P V D N O V N P P ^ , D N V ^ V V R P O , U ,
Part of our java application needs to run javascript that is written by non-developers . These non-developers are using javascript for data formatting . ( Simple logic and string concatenation mostly ) . My question is how can I setup the execution of these scripts to make sure scripting errors don't have a major negative impact on the rest of the application . Need to guard against infinite loops Guard against spawning new threads . Limit access to services and environment File system ( Example : If a disgruntled script writer decided to delete files ) Database ( Same thing delete database records ) Basically I need to setup the javascript scope to only include exactly what they need and no more .	N P D ^ N V P V ^ O V V P N , O N V V ^ P N V , , A N & N N R , , D N V R V O V D N P D N P V A V N V V D A A N P D N P D N , V P V P A N N P V A N , V N P N & N N N , N , P D A N N V P V N , N , A N V N N , R O V P N D ^ N P A V R O O V & D A ,
To guard against infinite loops , you'd need to put it in a separate process so that it could be killed . To guard against creating threads , you'd need to extend SecurityManager ( the default implementation allows untrusted code to access non-root thread groups ) . Java security does allow you to prevent access to the file system . For database restrictions , you might be able to use the standard SQL user security , but that is quite weak . Otherwise , you need to provide an API that enforces your restrictions . Edit : I should point out that the version of Rhino provided with JDK6 has had security work done on it , but doesn't include the compiler .	P V P A N , L V P V O P D A N P D O V V V , P V P V N , L V P V ^ , D N N V A N P V A N N , , ^ N V V O P V V P D N N , P N N , O V V A P V D A ^ N N , & O V R A , R , O V P V D ^ O V D N , N , O V N T P D N P ^ V P ^ V V N N V P O , & V V D N ,
How to Cross-Compile Java Source Code to JavaScript ?	R P V ^ N N P ^ ,
You can try using Scala-js https://github.com/lampepfl/scala-js for your java project - java / scala interoperability http://www.scala-lang.org/old/faq/4 )	O V V V ^ ^ P D ^ N , ^ , ^ N U ,
Here's a new link to the sample app : http://code.google.com/p/gwt-exporter/source/browse/trunk/samples/src/main/java/exporterdemo/public/ExporterDemo.html	L D A N P D N ^ , U
Also you can use QWT It has Java2JavaScript compiler on the board .	R O V V ^ O V ^ N P D N ,
Prestaul , thank , that's pretty much my same question . I looked for similar questions before I posted but didn't find this one .	^ , V , L R A D A N , O V P A N P O V & V V D $ ,
Well yes , technically I left that part out . There * is * a closure around index . But it is declared in an outer scope to the function passed to setTimeout . " closure " ! = " unchanging variable " .	! ! , R O V D N P , X , V , D N P N , & O V V P D A N P D N V P ^ , G G G G G G G G G ,
closures in javascript ( references to variables outside the function ) retain their association ... if you refer to a loop variable in a function called after the loop ends , in the function call you get the value of that variable after the loop .	N P ^ , N P N P D N , V D N , P O V P D N N P D N V P D N N , P D N V O V D N P D A P D N ,
Thanks Noah . that rhino book example is cool .	N ^ , D ^ N N V A ,
just stumbled across such situation . your topic made my day , sir ! thanks a lot !	R V P A N , D N V D N , N , V D N ,
I don't know what rules different browsers on servlet engines will apply , but normalization should remove the differences either way . Btw , it's worth trying on macs too , where r is the normal linebreak .	O V V O V A N P D N V V , & N V V D N & N , ! , L V V P ^ R , R G V D A N ,
Note : The code should be ` textarea.value.replace (/ n / g , " nr ") . length ` to find all occurrences . The original code only looks for the first match .	N , D N V V , ^ G G G G G G G G , N , P V D N , D A N R V P D A N ,
I think you need to do the line ending conversion / check on both client and server because you don't know what line endings the client browser is going to use ( Firefox submits n even on Windows ) and if you develop server side on Windows and deploy on Linux then the line endings will be handled differently .	O V O V P V D N V N , V P D N & N P O V V D N N D N N V V P V , ^ V , R P ^ , & P O V N N P ^ & R P ^ R D N N V V V R ,
Returning JSON in GWT	V ^ P ^
Is it possible to obtain a web-browser's Java VM without using an applet ?	V O R P V D S ^ ^ P V D N ,
A german website says it is supported in JavaScript 1.1 , Netscape 3.0 , Opera 5.12 , Firefox 1.0 , Konqueror 3.1 , Safari 1 and higher and ( exactly ) IE for Mac 5.0 :-( . Perhaps any of all these JS libs has something for that ...	D ^ N V O V V P ^ $ , ^ $ , ^ $ , ^ $ , ^ $ , ^ $ & R & , R , ^ P ^ $ E , R D P X D ^ ^ V N P D ,
This script seems to do the trick on all major browsers : http://www.pinlady.net/PluginDetect/JavaDetect.htm	D N V P V D N P D A N , U
Looks like the deployment toolkit is the " proper " way forward , so I've accepted this answer as it included a link to the appropriate page ( sorry , tackline - I know you suggested the toolkit first , but them's the breaks ) . Meanwhile , we'll be using our tried-and-tested launch an applet approach !	V P D N N V D , A , N R , P L V D N P O V D N P D A N , A , G , O V O V D N R , & G D N , , R , L V V D A N D N N ,
@dtsazza - you mentioned in a comment below that this is for security ( malicious users ) . Can you elaborate ? Especially since this will probably run in a browser .	@ , O V P D N P D D V P N , A N , , V O V , R P D V R V P D N ,
@JamesWestgate : Thanks James , I've found a new one and linked to that . Incidentally the first JS version I found ( at http://noteslog.com/post/crc32-for-javascript/) actually reparses part of the string containing the table for each character processed , which will make it * much * slower than necessary .	@ , N ^ , L V D A O & V P D , R D A ^ N O V , P U R A N P D N V D N P D N V , O V V O , A , A P A ,
A word of caution : the JavaScript in the link implements the algorithm with a table[256 ] of literal values . If you should modify even a single digit of that table , you will have a nasty bug that is very , very , hard to find ! I prefer implementations that generate the table on the 1st call .	D N P N , D ^ P D N V D N P D G G P A N , P O V V R D A N P D N , O V V D A N P V R , R , R P V , O V N O V D N P D $ N ,
Yes , I am was aware of that , though you were right to point it out . Unfortunately it's in input coming from the world at large , so we need to be able to cope with this anyway ( malicious / mischevious users could mangle this for example ) .	! , O V V A P O , P O V R P N O T , R L P N V P D N P A , P O V P V A P V P D R , A , A N V P D P N , ,
Here's a relatively simple one I've ' invented ' - there's no mathematical research behind it but it's extremely fast and works in practice . I've also included the Java equivalent that tests the algorithm and shows that there's less than 1 in 10,000,000 chance of failure ( it takes a minute or two to run ) . JavaScript Java	L D R A N ^ , V , , Y D A N P O & L R R & V P N , L R V D ^ N O V D N & V D Z A P $ P $ N P N , O V D N & $ P V , , ^ ^
Is there a reliable way of detecting what version of Java is installed on the client's machine using JavaScript ?	V R D A N P V D N P ^ V V P D S N V ^ ,
Update : This link is now broken . It looks like Adam Bellaire's link is going to be the one to use .	N , D N V R A , O V P ^ Z N V V P V D O P V ,
You can use the PluginDetect library from here : http://www.pinlady.net/PluginDetect /	O V V D ^ N P R , U ,
You're right , I didn't answer where I thought I was . Fixed my answer .	L R , O V V R O V O V , V D N ,
@PatrickMcElhaney : The correct way to improve someone else's answer is to improve someone else's answer . ( And the answer as it was at the time of that comment was not the answer it is now . )	@ , D A N P V O S N V P V O S N , , & D N P O V P D N P O N V R D N O V R , E
The detection logic does not work in IE32 on Windows7-64 . It could not detect the java version it installed earlier . Well , after further reading , the Java Deployment Toolkit on Windows uses ActiveX classid which may pose your app to hackers ( see http://www.kb.cert.org/vuls/id/886582 ) . I am out .	D N N V R V P ^ P ^ , O V R V D ^ N O V A , ! , P R V , D ^ ^ ^ P ^ V ^ N O V V D ^ P N , V U , , O V T ,
To use the Gears WorkerPool in GWT do I have to write the same code in Java and Javascript ?	P V D ^ ^ P ^ V O V P V D A N P ^ & ^ ,
It's rather unclear what exactly you're trying to do - how about showing us some sourcecode ?	L R A O R L V P V , R P V O D N ,
I'm confused by the line got2 = win.getMember ( " obj ") ; . It seems like you're expecting that line to get the foo object . As I understand it , win.getMember ( " obj ") will get you the obj property on the DOM window node , which doesn't exist . For example , from this page : If you want to get the foo object , the best way I'm aware of is to make a JavaScript method you can call from the Java applet . JavaScript : Applet :	L A P D N C = C , , ^ , , , O V P L V D N P V D N N , P O V O , C , , ^ , V V O D ^ N P D ^ N N , O V V , P N , P D N , P O V P V D N N , D A N L A P V P V D ^ N O V V P D ^ N , ^ , N ,
It did . What's your exception ?	O V , L D N ,
I'm not sure I have any more suggestions for you , except to be pedantic - are you using the exact code I wrote above ? I can get the exception if I have getFoo return null , but my line number is 32 instead of 34 , so I suspect you have something else there as well .	L R A O V D A N P O , V P V A , V O V D A N O V P , O V V D N P O V G V ^ , & D N N V $ R P $ , P O V O V N R R R R ,
I have a list of strings on my server which I am trying to get to the client in the form of an array . The code I am attempting to use is the following : Within the jsp I have a List String column I am attempting the following code : This code simply returns the first element in the columns list for every element in the colArray . I have also tried : which does not work either . I feel like I am making a little mistake somewhere and am just not seeing it . Is what I am trying to do possible in the way that I am attempting ? Thanks .	O V D N P N P D N P O V V P V P D N P D N P D N , D N O V V P V V D N , P D ^ O V D N N N O V V D N N , D N R V D A N P D N N P D N P D ^ , O V R V , O V R V R , O V P O V V D A N R & V R R V O , V O O V V P V A P D N P O V V , N ,
Once the JavaScript reaches the client , the server code has stopped executing . The server code does not execute " in parallel " with the client code . You have to build the entire JavaScript initialization in Java and send it , complete and executable , to the client : That is just one way to do it , you can also build the output " on the fly " by embedding the server code inside the [ and ] . I used this example to try to demonstrate the separation between building the string that comprises the client-side JavaScript and outputting that to the browser .	P D ^ V D N , D N N V V V , D N N V R V , P A , P D N N , O V P V D A ^ N P ^ & V O , A & A , P D N , O V R A N P V O , O V R V D N , P D N , P V D N N P D , & , , O V D N P V P V D N P V D N O V D A ^ & V O P D N ,
Java based Swing Browser should support JavaScript	^ V ^ N V V ^
I'm not saying don't do it : I'm saying find someone else that's already done it and use that .	L R V V V O , L V V O R L R V O & V D ,
Will you please tell me that how to implement this ?	V O V V O R R P V D ,
I'm looking for access to financial data from Google services . I found this URL that gets the stock data for Microsoft . What are all the possible parameters that Google allows for this kind of HTTP request ? I'd like to see all the different information that I could get .	L V P N P A N P ^ N , O V D ^ O V D N N P ^ , O V X D A N P ^ V P D N P ^ N , L V P V X D A N P O V V ,
@Timmyc - The ` client=ig ` parametet leads me to believe this is / was used for an iGoogle widget . Just a guess though .	@ , D , G , V V O P V D V , V V P D ^ N , R D N P ,
Note : The Google Finance API has been officially deprecated as of May 26 , 2011 and will be shut down on October 20 , 2012 .	N , D ^ ^ ^ V V R V P P ^ G , G & V V V T P ^ G , G ,
I found this site helpful . http://benjisimon.blogspot.com/2009/01/truly-simple-stock-api.html It links to an API yahoo seems to offer that is very simple and useful . For instance : http://finance.yahoo.com/d/quotes.csv?s=GOOG+AAPL f=snl1 Full details here : http://www.gummy-stuff.org/Yahoo-data.htm	O V D N A , U O V P D ^ ^ V P V O V R A & A , P N , U G A N R , U
But I cannot get the volume traded through this URL , Can you help me out , if I need the volume details too	& O V V D N V P D ^ , V O V O T , P O V D N N R
Mostly yes . Compare ` GF_trade_time_utc ` to the current time / date and you be the judge .	R ! , V , ^ , P D A N , N & O V D N ,
Do you have any experience using their services ? How much do they charge ?	V O V D N V D N , R R V O V ,
Thanks once again bro , This one was really helpful , but still how can I get the volume information ?	N R R ^ , D N V R A , & R R V O V D N N ,
Sure Sir , Thanks a lot and that will be of great help .. :-) god bless you	R ^ , V D N & O V V P A N , E N V O
Try with this : http://finance.google.com/finance/info?client=ig q=NASDAQ : GOOGL It will return you all available details about the mentioned stock . e.g. out put would look like below : // [ { " id " : " 694653 " , " t " : " GOOGL " , " e " : " NASDAQ " , " l " : " 528.08 " , " l_fix " : " 528.08 " , " l_cur " : " 528.08 " , " s " : " 0 " , " ltt " : " 4:00 PM EST " , " lt " : " Dec 5 , 4:00 PM EST " , " lt_dts " : " 2014-12-05T 16:00 : 14Z " , " c " : " - 14.50 " , " c_fix " : " - 14.50 " , " cp " : " - 2.67 " , " cp_fix " : " - 2.67 " , " ccol " : " chr " , " pcls_fix " : " 542.58 " } ] You can have your company stock symbol at the end of this URL to get its details :	V P D , U G , ^ O V V O R A N P D V N , G T V V V V P G G G G G G G G G G G G G G G G G G G , G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G , G , G G G G , G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G O V V D N N N P D N P D ^ P V D N ,
does your resize function get called ? ( e.g. where is the error so far ? )	V D A N V V , , N R V D N R R , ,
Why don't you use percentage width and height . I usually use the following code for my applets :	R V O V N N & N , O R V D N N P D N ,
Sending a value from javascript to jsp ( with jquery )	V D N P ^ P ^ , P ^ ,
Trying using the jQuery Ajax API - you can use it to send arbitrary data via GET or POST and you don't need to set up a hidden form or anything .	V V D ^ ^ ^ , O V V O P V A N P ^ & ^ & O V V P V T D A N & N ,
Is there a way to programmatically list all geo-tagged Wikipedia entries within a radius of a long / lat point ? I'm thinking this is possible with the google maps API but I am interested in any method . NOTE : I do not want to display a googlemap .	V R D N P D N R A ^ N P D N P D A , D N , L V D V R P D ^ N ^ & O V V P D N , V , O V R V P V D ^ ,
How to preview a file on the server in JBoss	R P V D N P D N P ^
I agree with Peter ( yo Pete ! ) . Put the directory outside of your WAR and setup an environment variable pointing to this . Have a read of this post by Jacob Orshalick about how to configure environment variables in Seam : As for previewing PDFs , have a look at how Google Docs handles previewing PDFs - it displays them as an image . To do this with Java check out the Sun PDF Renderer .	O V P ^ , ! ^ , , , V D N N P D ^ & V D N N V P D , V D N P D N P ^ ^ P R P V N N P ^ , R P V ^ , V D N P R ^ ^ V V ^ , O V O P D N , P V D P ^ V T D ^ ^ ^ ,
Is Google Web Toolkit useful to develop complex javascripts ?	V ^ N N A P V A ^ ,
I guess if you trust that google will do it better than you would and you know your Java it * could * do - personally I'm against it , but it probably has niche value for someone	O V P O V D ^ V V O R P O V & O V D ^ ^ , V , V , R L P O , & O R V N N P O
Do you think the same way about generated Assembler ? Handling all those differences between different Processor architecures ? I am not saying , that GWT is necessarily there yet . But Generating one language out of another is nothing scary at all .	V O V D A N P A N , V X D N P A N N , O V R V , D ^ V R R R , & V $ N P P O V N A P X ,
I suspect you've never used GWT in a large scale project . It doesn't make cross browser stuff harder , it makes it easier . People worry about going through generated javascript , but the truth is you never have to , just like you never have to look at java byte code , because the compiler is top-notch .	O V L R V ^ P D A N N , O V V A N N R , O V O A , N V P V P A ^ , & D N V O R V P , R P O R V P V P ^ N N , P D N V A ,
GWT doesnt actually use XML-RPC , but yea , the rest of the post is my sentiments exactly .	^ V R V ^ , & ! , D N P D N V D N R ,
This question might better be asked at the relevant newsgroup : mozilla.dev.tech.js -engine . Or by mail to one of the responsible developers as mentioned at the Mozilla site . However , if you found out please post the answer here . I'm interested too .	D N V R V V P D A N , ^ G , & P N P O P D A N P V P D ^ N , R , P O V T V V D N R , L V R ,
In JDK6 , is there a way to load multiple scripts , each in a file , and have the one script reference a method of another script ? Sort of like " include " ?	P ^ , V R D N P N A N , D P D N , & V D $ N N D N P D N , N P V , ^ , ,
Is this available outside of the Rhino shell ?	V D A N P D ^ N ,
A real-life example this time , i.e. running the esprima parser with Rhino 1.7 R4 . After running this code , you should see the output as follows : So indeed , the trick is in reusing the globalScope object .	D A N D N , O V D ^ N P ^ $ $ , P V D N , O V V D N P V , P R , D N V P V D ^ N ,
The only option would be to put you content in an iframe that encompasses your whole document and use absolute positionning for the applet . With a css like this one : There are MANY drawbacks : The applet will always be positionned at the same place , no matter the page You will suffer to get the iframe full width and full height , especially in IE It's possible you will also suffer to have the applet showing properly ( an object on top of an iframe , I can't imagine what troubles you'll run into ) The applet will stay if your user click to a link leading outside of your site unless you set a target for the link ( ie , target='top ' or target='__blank ')	D A N V V P V O V P D ^ O V D A N & V A N P D N , P D ^ P D $ , X V A N , D N V R V V P D A N , D N D N O V V P V D ^ A N & A N , R P ^ L A O V R V P V D N V R , D N P N P D ^ , O V V O N L V P , D N V V P D N V P D N V R P D N P O V D N P D N G G G G G G G G
Browser Java Plugin Detection	N ^ N N
You may also consider PluginDetect script .	O V R V ^ N ,
Where is Java getting involved in this ? This is Javascript .	R V ^ V V P D , D V ^ ,
What is the best way to return an host object to JavaScript in Rhino ? I have two classes like this : It works , in the sense that I can call the toString method , but the member object doesn't behave as I would expect : If I call Object.prototype.toString though , it does say it's a Member object : I've tried calling m.setPrototype and Context.javaToJS .	O V D A N P V D N N P ^ P ^ , O V $ N P D , O V , P D N P O V V D ^ N , & D N N V V P O V V , P O V ^ P , O V V L D N N , L V V ^ & ^ ,
I have serialized the Java object located on the server side and sent it to the client How can I deserialize that XML string into the Java object using JavaScript and execute the methods of person class in the client side using the JavaScript ? Please help me with syntax or any guidelines .	O V V D ^ N V P D N N & V O P D N R V O V D ^ N P D ^ N V ^ & V D N P N N P D N N V D ^ , V V O P N & D N ,
What you're describing here sounds different than your question .	O L V R V A P D N ,
This seems overly complicated . What he really needs is to make his Java server provide a web service and then he needs to call that web service using AJAX .	D V R A , O O R V V P V D ^ N V D N N & R O V P V D N N V ^ ,
Detecting EOF / TCP teardown using Java sockets from Javascript	V ^ , ^ N V ^ N P ^
Or do you mean in place of the outermost while ? Data being available to read without blocking is independent of whether the server has closed the socket - there could be pauses in transmission , and the OS could have buffered input data . So we must test both separately .	& V O V P N P D A ^ , N V A P V P V V A P & D N V V D N , X V V N P N , & D ^ V V V N N , P O V V D R ,
OK , further research suggests there is no non-blocking way to discover whether the remote side has closed a socket . However , it is possible to achieve this using NIO channels :	N , A N V R V D A N P V & D A N V V D N , R , O V A P V D V ^ N ,
I got a form with SWFUpload . Files uploaded to the server are converted server-side ( video being compressed , images being resized etc ) Question is - can i delegate some of the functionality to client-side ( like image resizing ) , to save some bandwidth for user .	O V D N P ^ , N V P D N V V N , N V V , N V V G , N V , V O V D P D N P N , P N V , , P V D N P N ,
I got a form with SWFUpload . Files uploaded to the server are converted server-side ( video being compressed , images being resized etc ) Question is - can i delegate some of the functionality to client-side ( like image resizing ) , to save some bandwidth for user .	O V D N P ^ , N V P D N V V N , N V V , N V V G , N V , V O V D P D N P N , P N V , , P V D N P N ,
Is it possible to play a sound notification using Google Web Toolkit which will be translated to Javascript ? Thanks .	V O R P V D N N V ^ ^ N O V V V P ^ , N ,
where is the ` style ` folder ? Is it in the same directory as the . java file , or is it in the web directory ?	R V D , N , N , V O P D A N P D , ^ N , & V O P D N N ,
Please accept an answer .	V V D N ,
