Java < -> Javascript for non-Applets ?	^ G G ^ P ^ ,
you can use the jquery plugin to have onblur ( client side ) validation on your forms . Furthermore , you may use DWR validation for struts2 . You will have to go through some setup procedures that involve adding the DWR.xml in your configuration file but once all that is done , you will be able to have AJAX validation on your forms . Example	O V V D ^ V P V ^ , N N , N P D N , R , O V V ^ N P ^ , O V V P V P D N N O V V D ^ P D N N & R R O V V , O V V A P V ^ N P D N , N
You could just call the forms onsubmit function through an onblur handler . Something like :	O V R V D N ^ N P D ^ N , N P ,
Trouble calling an applet method from page	N V D N N P N
I know it's not optimal , but I have to work with it , a page making calls to the applet . My problem is , when I do so , I recieve a rather cryptic error message : " uncaught exception : Error calling method on NPObject ! [ plugin exception : java.lang.reflect.InvocationTargetException ] . " Can anyone decode this ? Even multiple possibilities would be better than the junk I came up with . The basic call to the applet is from a javascript call : As you can see , the passData method is the exposed method I am trying to use . The applet itself works fine on the page , it's just when I try to call this , it doesn't do anything except throw that error . If I ask the person working on the applet ( it's not my portion ) is it possible for them to add constructive error throwing or am I not even at the point of connecting to the applet yet ?	O V L R A , & O V P N P O , D N V V P D N , D N V , R O V R , O V D R A N N , , D N , ^ V N P ^ = , N N , ^ , , , V N V D , R A N V V R P D N O V T P , D A N P D N V P D ^ N , P O V V , D ^ N V D A N O V V P V , D N O V A P D N , L R R O V P V D , O V V N V V D N , P O V D N V P D N , L R D N , V O R P O P V A N V & V O R R P D N P V P D N R ,
InvocationTargetException indicates that the underlying method in your applet threw an exception . The Javascript to Java " boundary " uses reflection , so exceptions thrown by the Java code are wrapped like this . ( This makes it possible to distinguish them from exceptions thrown before you got into your Java code . For example , if you tried to call a non-existant method . ) You can get the original exception by catching the InvocationTargetException and then calling its getTargetException() or getCause() method ( they both do exactly the same thing ) .	^ V P D A N P D N V D N , D ^ P ^ , N , V N , P N V P D ^ N V V P D , , D V O R P V O P N V P O V P D ^ N , P N , P O V P V D A N , , O V V D A N P V D ^ & R V L ^ & ^ N , O D V R D A N , ,
Thanks , that's definitely going to help out . I'll leave the question open in case I get any more hits , but I'll check back tomorrow morning in case anyone has any more insight on it .	N , L R V P V T , L V D N V P N O V D A N , & L V T N N P N N V D A N P O ,
I'd suggest you look into what someOtherData is . If someOtherData isn't a correct type it could cause such an exception . It sounds like you're trying to pass a DOM object ? Take a look at this page in O'Reilly's JavaScript Guide to see available types .	L V O V P D G V , P G V D A N O V R X D N , O V P L V P V D ^ N , V D V P D N P Z ^ N P V A N ,
The string I was passing was not being received correctly by the exposed Java applet method .	D N O V V V R V V R P D A ^ N N ,
Could you elaborate ?	V O V ,
Read Browser / Client time from Http Servlet request header	V N , N N P ^ N N N
Is it possible to read the Browser ( Client machine ) time when a request is made to the servlet ?	V O A P V D N , N N , N R D N V V P D N ,
I don't believe so . Unfortunately the HTTP Date header is only sent for PUT or POST messages , and even then it's optional : Clients SHOULD only send a Date header field in messages that include an entity-body , as in the case of the PUT and POST requests , and even then it is optional . A client without a clock MUST NOT send a Date header field in a request . If you have control of the client , you could ( perhaps ) encode it as a separate experimental HTTP header . Or add it as a GET parameter etc .	O V V R , R D ^ N N V R V P V & V N , & R R L A , N V R V D N N N P N O V D N , R P D N P D V & V N , & R R O V A , D N P D N V R V D N N N P D N , P O V N P D N , O V , R , E O P D A A ^ N , & V O P D V N G ,
You can use javascript and append the time to every request . Provided that javascript is enabled , you can add the following to your links : You can do something similar , if you need timezone information . This question may help .	O V V ^ & V D N P A N , V D ^ V V , O V V D N P D N , O V V O A , P O V N N , D N V V ,
JAAS tomcat login module possible method to pass ip address	^ ^ V N A N P V ^ N
I've been looking into a way of passing the client ip as well as the userid and password from a JAAS login page to the JAAS login module implementation in my web code . JAAS only allows the user id and password to be passed to the login module . My idea is to have a java script code to append the ip address to the user id and then call the form submit . I just don't have the right java script code to do this . Can you help ? The web page has two input fields , j_userid and j_password , which the JAAS code knows to look it . So what javaScript code can I use to add the ip address to the j_userid field before the form submit . I was thinking of ' ip-address #userid ' and then in my login module I'd take the ip address off the userid .	L V V P D N P V D N ^ P R P D ^ & N P D ^ V N P D ^ V N N P D N N , ^ R V D N N & N P V V P D N N , D N V P V D ^ N N P V D N N P D N N & R V D N V , O R V V D A ^ N N P V O , V O V , D N N V $ N N , G & G , O D ^ N V P V O , P D ^ N V O V P V D N N P D G N P D N V , O V V P , N # , & R P D N ^ L V D N N T D N ,
Sorry , I don't think there is a way to obtain the ip on the client side , in plain Javascript . Testing the remote ip on the server side is probably not a solution if you don't control the infrastructure between the client and the server ( load-balancers , proxies ... ) . If you're confident the remote ip is the ip of the client , you should be able to hack a tomcat Valve or a servlet filter .	A , O V V R V D N P V D N P D N N , P A ^ , V D A N P D N N V R R D N P O V N D N P D N & D N , N , N , , , P L A D A N V D N P D N , O V V A P V D ^ N & D N N ,
I can get the ip address onto the page in a hidden field using a JSF bean . The problem is passing it through to the JAAS login module .	O V V D N N P D N P D A N V D ^ N , D N V V O P P D ^ V N ,
I created these two javaScript functions . addIpSubmit is called from a login button . You can see I have a bean to put the ip address into a hidden field . The j_username JAAS field is also hidden and is filled in by the addIpSubmit() function . It mungs the ip to the user name and calls the JAAS submit functions . Then in the login module I get the ip address and user name out . Just remember that the FacesContext.getCurrentInstance() . getExternalContext() . getRemoteUser() now has the ip #userid in it .	O V D $ ^ N , G V V P D N N , O V V O V D N P V D N N P D A N , D N ^ N V R A & V V P P D C N , O V D N P D N N & V D ^ V N , R P D N P O V D N N & N N T , R V & D C , C , C R V D N # P O ,
How to get custom value from text field in JSP ?	R P V N N P N N P ^ ,
I'm working in a very simple and small web application , it is a jsp that handles a shopping cart . What I do at this point is to iterate through all the products that are stored in the car and add them one by one to the jsp with each iteration . This is the code that adds a row to the jsp in each iteration : As you can see I add to the end of each row a submit type control with a custom method for handling Click events , the use of this control is to remove from the car the respective product . The problem that I have is that when I click in the delete button of a product , the id that is passed to the CustomSubmit ( ... ) method is not the id of the product that I'm trying to remove but the id of the last product added to the jsp . So , my question is how can I get the correct id from the item that I'm trying to remove ?	L V P D R A & A N N , O V D ^ O V D N N , O O V P O N V P N P X D N O V V P D N & V O $ P $ P D ^ P D N , O V D N & V D N P D ^ P D N , P O V V O V P D N P D N N V N N P D A N P V ^ N , D V P O N V P V P D N D A N , D N O O V V O R O V P D V N P D N , D N & V V P D C , , , N V R D ^ P D N O L V P V & D N P D A N V P D ^ , P , D N V R V O V D A N P D N O L V P V ,
How are you iterating over each item in the cart ?	R V O V P D N P D N ,
I got them in an ArrayList() that is contained in a Java Bean that is located in the session scope .	O V O P D C O V V P D ^ ^ O V V P D N N ,
The way i use to do it is as follows : Replace add the deleteIt javascript function , in the function you fill a hidden input field with the id . Then submit the page and the correct id gets passed to your page Little sidenote its always prudent to escape all your Strings maybe like	D N G V P V O V P V , ^ V D N A N , P D N O V D A N N P D ^ , R V D N & D A L V V P D N A N L R A P V X D ^ R P
Thanks for the sidenote , I will do it , now about what you suggest , I understand the javascript function part , but how do you do to get ' yourid ' variable , because I{m adding rows dynamically , and I don t know which is the id from the product that the user wants to remove , the id is contained in a column of the row , but I don't know how to get it ...	N P D N , O V V O , R P O O V , O V D ^ N N , & R V O V P V , N , N , P G V N R , & O G G V O V D N P D N & D N V P V , D N V V P D N P D N , & O V V R P V O ,
I assume your cart is a list of objects , each having the attributes id and quantity . So I would expect you code to look something like this ( noting Peter's answer about using a ' button ') : I'm not entirely sure what you are trying to do with the ' request ' parameter in your original code but if this is the HTTP request all you will get when you try to write it to the JSP is the result of the request.toString method .	O V D N V D N P N , O V D N N & N , P O V V O N P V O P O , V Z N P V D , N , , L R R A O O V V P V P D , N , N P D A N & P O V D ^ V X O V V R O V P V O P D ^ V D N P D ^ N ,
well , actually you can just ignore the request parameter , is not important at this moment ; and it is just as you say , that is exactly how I'm working , but the problem is that when the event is fired and this code " CustomSubmit ( ' < %= cartItem.id % > ')" is executed , I don't get the " cartItem.id " from the item that I want to remove , I get the " cartItem.id " from the last item added to the jsp . One solution could be try to get the " cartItem " from the list but in order to do so I will need to know the row number of the item that I want to delete and I don't know either how to get the row number	! , R O V R V D N N , V R A P O N , & O V R P O V , O V R R L V , & D N V O R D N V V & O N , C , , , , G , , , V V , O V V D , ^ , P D N O O V P V , O V D , ^ , P D A N V P D ^ , $ N V V V P V D , N , P D N & P N P V P O V V P V D N N P D N O O V P V & O V V R R P V D N N
When you look at the page source in the browser does each row in the table have the same id ? If so the problem isn't with this code , it's with either the iteration logic or the cart item object . If not then there's something up with your JavaScript and it's time to crack out Firebug and take a look at what's going on .	R O V P D N N P D N V D N P D N V D A N , P P D N V P O N , L P X D N N & D N N N , P R R S O T P D ^ & L N P V T N & V D N P L V P ,
javascript injection in wicket	^ N P N
I have J2EE project which uses wicket framework . I want to know how can I prevent from javascript injection in wicket ?	O V ^ N O V N N , O V P V R V O V P ^ N P N ,
Although I didn't think the way in which you formulated your question deserved it ( no details , no background , no example problem statement , implied susceptability to injection , etc ) , I dug up some details from the Excellent Wicket in Action : Wicket is secure by default You never need to worry about pimple-faced 14-year-olds trying to hack your web application . To do so , they would have to hijack the session and then guess the right page identifiers and version numbers , which would be relative to the session and the relevant component paths . You d have to be a persistent hacker to pull that off . You can make your Wicket application even more secure from the default by encrypting requests with , for instance , CryptedUrlWebRequestCodingStrategy .	P O V V D N P D O V D N V O , R N , R N , R N N N , A N P N , G , , O V T A N P D A N P N , N V A P N O R V P V P A A V P V D N N , P V R , O V V P V D N & R V D A N N & N N , O V V A P D N & D A N N , O G V P V D A N P V D T , O V V D N N R R A P D N P V N P , P N , C ,
All Wicket components escape strings by default ( by Labels , TextFields , etc . ) , which avoids most common issues related to javascript injection . You should take appropriate care , though , if you disable this behavior ( component.setEscapeModelStrings ( false ) ) for some reason , or create custom-rendered components ( if you write the markup directly to the output ) .	D N N V N P N , P N , ^ , G , , , O V A A N V P ^ N , O V V A N , P , P O V O N , C , C , , P A N , & V A N , P O V D N R P D N , ,
render complex org chart similar javascript / flash / java graphic library	V A N N A ^ , N , ^ A N
i am looking for javascript / flash / java graphic lib . that able to render nicely a very complex relationship where one node is relate to another node etc . for example a --> b ---> c b --> d , e , f any recommandation library ?	O V V P ^ , N , ^ A N , O A P V R D R A N R $ N V V P A N G , P N D G G G G G G G , N , G A N N ,
So essentially you are looking for recommendations for a graph visualization library for Javascript , Flash , or Java ?	P R O V V P N P D N N N P ^ , N , & ^ ,
yes.i am looking for graph visualization lib	O V V P N N N
what a cooincidence , I was just looking into this myself . I found this : http://www.ryandesign.com/canviz http://code.google.com/p/canviz /	O D N , O V R V P O O , O V O , U U ,
Prefuse is very cool and Java based . Demo here .	N V R A & ^ V , N R ,
This is the one I use for Organizational chart http://code.google.com/apis/visualization/documentation/gallery/orgchart.html	O V D $ O V P A N U
The Graphviz open source graph visualization software is widely used to render graphs , and jGraphviz is a binding for java .	D ^ A N N N N V R V P V N , & ^ V D N P ^ ,
focusing the text field	V D N N
How to focus the calender after selecting the date from calender .. I am selecting the date and calender is also closing but after that focus is missing . Please help me on this issue .. Regards Sk	R P V D N P V D N P N , O V V D N & N V R V & P O N V V , R V O P A N , N G
which calender ?	D N ,
java or javascript ?	^ & ^ ,
It seriously depends on the calendar implementation you use . If the calendar is drown by Java tag try to seek the onchange attribute and set it to :	O R V P D N N O V , P D N V V P ^ N V P V D N N & V O P ,
This appears to be JavaScript code , not Java .	O V P V ^ N , R ^ ,
Do Applet JSObject javascript calls serialize ?	V N ^ ^ V N ,
Do applet javascript calls serialize in any proper way ? I'm considering implementing a model in which two threads send off javascript commands . One responds to requests from the browser ( js ) , and the other hits the browser periodically . My question is this : what happens if these two javascript requests collide ? I'm worried about concurrent javascript requests , as intuition leads me to believe that one of the calls will fail nondeterministically .	V N ^ V N P D A N , L V V D N P D $ N V T ^ N , O V P N P D N , ^ , , & D A V D N R , D N V D , O V P D $ ^ N V , L A P A ^ N , P N V O P V D $ P D N V V R ,
Javascript is single-threaded . Only one block of code can be executing at any given time ; any other event , method , etc . that fires will wait until the currently executing code terminates . Google Chrome's javascript engine may be an exception - I recall them mentioning some kind of multi-threaded javascript support in their features , but I'm unsure how it works . In IE 6 , the browser UI will actually become unresponsive while JS code is running ( if you stop at a breakpoint with keyword ' debugger ' , or have IE set to debug , for example ) .	^ V A , R $ N P N V V V P D V N , D A N , N , G , O V V V P D R V N V , ^ Z A N V V D N , O V O V D N P A ^ N P D N , & L A R O V , P ^ $ , D N ^ V R V A P ^ N V V , P O V P D N P N , N , , & V ^ V P V , P N , ,
Serialize ? Do you mean synchronize ? JSObject works by passing primitives to a single JSContext JNI NPAPI wrapper which acts on the DOM in the underlying browser implementation . Are you referring to the passing of primitives through JNI ? I don't know much about how chrome's JS engine works , but I assume that since the liveconnect NPAPI in chrome is the same as the others , the ability to write multithreaded javascript has nothing to do with multithreaded JSObject access . The affected code extends the same abstract JSObject class that firefox uses . There are several implementations of JSObject / liveconnect -- a few for netscape / firefox and one for ie ( ocx ) . All behave differently as far as multiple threads go . DOM access isn't threadsafe in general as far as liveconnect is concerned . So , officially , multiple threads accessing the DOM is undefined . If you manage to actually access the DOM through something other than code scoped in DOMService.run() , you'll get crazy deadlocks and race conditions . So , basically , you need all of your java threads to post all DOMActions to your DOM access dispatch thread only .	V , V O V V , ^ V P V N P D A ^ ^ ^ N D V P D ^ P D A N N , V O V P D V P N P ^ , O V V R P R Z ^ N V , & O V O P D N ^ P N V D A P D N , D N P V A ^ V N P V P A ^ N , D A N V D A A ^ N P ^ V , X V A N P ^ , N , D A P ^ , ^ & $ P ^ , G , , X V R R R R A N V , ^ N V A P A P R P N V A , P , R , A N V D ^ V A , P O V P R V D ^ P N R P N N P ^ , L V A N & N N , P , R , O V R P D ^ N P V D ^ P D ^ N N N R ,
Display a javascript / css tooltip within a @For loop with Tapestry 4.0 . 1	V D ^ , ^ N P D @ N P ^ $ , $
I'm not at all familiar with Tapestry 4.0 . 1 and need to update a legacy application to display a formatted tooltip for a few links within a @For loop . What is the easiest / best way to go about accomplishing this ? Should I be using the @Script component or is there a simpler way ? By the way , upgrading to a newer version of Tapestry is out of the question . Unfortunate , yes , but out of my control . Thanks in advance for your help . Carl	L R P X A P ^ $ , $ & V P V D N N P ^ D A N P D A N P D @ N , O V D A , A N P V P V D , V O V V D @ N & V R D A N , P D N , V P D A N P ^ V T P D N , N , ! , & R P D N , N P N P D N , ^
Maybe the better question would be : How do I pass a value to an inline function call ? I've written a small function to show the tip , but I need to pass the message to it like so : AdUnit Predicate So , how do I pass the message in ?	R D A N V V , R V O V D N P D A N N , L V D A N P V D N , & O V P V D N P O V R , ^ V P , R V O V D N P ,
After posting my question , I managed to come up with a rather hacky ( crappy ? ) solution . Can't say it's my proudest moment as a engineer , but it works . * * Some code omitted to protect the innocent .	P V D N , O V P V T P D R A , N , , N , V V L D A N P D N , & O V , , , A N V P V D A ,
IIRC , using the dom to update the structure is preferred to a straight document.write ( ... ) CMA : There was something along the lines of DOM / document.write posted here on SO a while ago	^ , V D ^ P V D N V V P D A ^ , , , ^ , X V N P D N P ^ , ^ V R P P D N R
Use the @Any component . For your example , substitute MYTOOLTIP with whatever object is holding the message :	V D @ N , P D N , V N P R N V V D N ,
How can I define static properties for Rhino's ScriptableObject ?	R V O V A N P Z ^ ,
Rhino provides Scriptable interface and ScriptableObject helper class to implement a javascript object backed by a java object . When ScriptableObject is constructed , its methods with names starting with jsFunction___ , jsStaticFunction___ , jsGet___ , jsSet___ , jsConstructor are automatically defined for the javascript object . This way you can defined funations , static frunctions , instance properties ( by its accessors ) , and constructor . The question is how to define static properties ? By static properties I mean properties on the constructor , like static methods are methods on the constructor . The only way I see for now is to use finishInit method , and define static properties manually . But what is the right way ?	^ V A N & ^ N N P V D ^ N V P D ^ N , R ^ V V , L N P N V P G , G , G , G , ^ V R A P D ^ N , D N O V V N , A N , N N , P D N , , & N , D N V R P V A N , P A N O V N P D N , R A N V N P D N , D A N O V P R V P V A N , & V A N R , & O V D A N ,
Currently I have something like this on my mind : Are there other ways ? And is this way correct ? IMPORTANT : Note that constructor for MyObject is not yet defined in scope , when finishInit is called . In order to define static properties , which are instances of MyObject , use the following syntax :	R O V N P D P D N , V X A N , & V D N A , A , V D N P ^ V R R V P N , R N V V , P N P V A N , O V N P ^ , V D N N ,
md5 hash for password string in GWT / GWT-Ext ?	^ N P N N P ^ , ^ ,
I am currently trying to modify an existing GWT-Ext application , that is using plain text passwords in its MySql database . My plan was to use md5 hashes , as the existing passwords can be easily altered with the MySql function and I was expecting to find an easy solution for the GWT-Ext side as well . But as I found out , java.security is not supported by GWT and there doesn't seem to be any other implementation that can be used to change the password string to a md5 hash on client side . Only " solution " I found so far , is to re implement a md5 method via JSNI as described here : http://groups.google.com/group/Google-Web-Toolkit/browse_thread/thread/ad09475a9944c9f8 There is an existing user extension for Ext-JS , but I couldn't find anything for GWT-Ext : http://extjs.com/forum/showthread.php?p=133516 Does anybody know a more elegant / simple way to solve this problem ? Maybe I should use something else instead of md5 to make sure the passwords are encrypted ? Cheers Frank	O V R V P V D A ^ N , O V V A N N P D ^ N , D N V P V ^ N , P D A N V V R A P D ^ N & O V V P V D A N P D ^ N P R , & P O V T , ^ V R V P ^ & R V V P V R A N P V V V P V D N N P D ^ N P N N , R , N , O V R R , V P G V D ^ N P ^ P V R , U X V D A N N P ^ , & O V V N P ^ , U V O V D R A , A N P V D N , R O V V N R R P ^ P V A D N V V , N ^
Personally , I would say you're doing it wrong . I wouldn't hash a password on the client side ( which is what GWT is ) . If you hash your password , you will undoubtedly want to salt it , otherwise you will be susceptible to rainbow attacks . If you hash + salt it on the client side , your salt will be accessible to your users . If I were you , I would hash + salt your password on the server side . This will allow you to use your standard Java code to perform your MD5 hash . My 2 cents . -JP	R , O V V L V O R , O V V D N P D N N , O V O ^ V , , P O V D N , O V R V P V O , R O V V A P N N , P O V G N O P D N N , D N V V A P D N , P O V O , O V V G N D N P D N N , D V V O P V D A ^ N P V D ^ N , D $ N , G
Its not a bad scheme if he does something like cram-md5 on the client side , where the client computes a hmac ( md5 hash plus a nonce salt ) and sends it to the server . The down side is that the server needs clear text password to check the hmac .	L R D A N P O V N P ^ P D N N , R D N V D ^ , ^ N V D N N , & V O P D N , D T N V P D N V A N N P V D N ,
good point about the rainbow attacks , didn't knew about this before . I also solved it by doing the encryption on the server side , but the idea was , that I wanted to encrypt the password , before sending it to the server , as we currently only use http and no https .	A N P D N N , V V P D R , O R V O P V D N P D N N , & D N V , P O V P V D N , P V O P D N , P O R R V ^ & D ^ ,
GWT is client-side and server side . Other than that , the post is good advice . Don't hash it on the client side . Have a look at http://www.owasp.org/index.php/Hashing_Java .	^ V A & N N , R P O , D N V A N , V V O P D N N , V D N P U ,
Another idea that may fit your need is something called zero knowledge auth . ( Ie . the server never needs to know the user's plain text password . ) Basically , when setting the initial password , the client hashes the user's password N times ( where N is a largish number like 1000 ) , and then sends that final hash to the server along with N . The server stores the hash and N . Later , when the user wants to authenticate , the server tells the client N-1 , and the client hashes the password the user types N-1 times and sends that to the server . The server does 1 more hash on the received hash , and ( hopefully ) gets the stored hash . The server then stores the N-1 hash and N-1 number . Each time the user authenticates , the server decrements the stored N and saves the previous hash . When N gets down to 0 , the user must choose and set a new password . The server must ensure that it never asks for the same iteration , otherwise it is vulnerable to a replay . You can't really enforce that condition from the client side because the client ( especially a browser ) can't reliably keep track of the last N .	D N P V V D N V N V $ N N , , G , D N R V P V D Z A N N , , R , O V D A N , D N V D Z N G N , R G V D A N P $ , , & R V D A N P D N P P G , D N V D N & G , R , R D N V P V , D N V D N G , & D N V D N D N V G N & V O P D N , D N V $ A N P D A N , & , R , V D A N , D N R V D G N & G N , D N D N V , D N V D V G & V D A N , R & V T P $ , D N V V & V D A N , D N V V P O R V P D A N , R O V A P D N , O V R V D N P D N N P D N , R D N , V R V N P D A G ,
Very interesting idea , and never thought of that before . Doesn't really fit in the current solution , but I will keep it in mind for future reference , thanks :-)	R A N , & R V P O R , V R V P D A N , & O V V O P N P A N , N E
Interesting idea so I spent some time thinking about it , but it is vulnerable to a man-in-the-middle attack . On an authentication request , the server sends some number M . The attacker sends ( M-1 ) to the client , and receives hash ( M-1 ) back . The attacker tries to authenticate again , receives challenge ( M-1 ) from the server and responds with hash ( M-1 ) . The attacker is now authenticated .	A N P O V D N V P O , & O V A P D A N , P D N N , D N V D N G , D N V , ^ , P D N , & V N , ^ , R , D N V P V R , V N , ^ , P D N & V P N , ^ , , D N V R V ,
yes , that does sound like an issue . My first thought would be to require the server to not reuse M after issuing it during a challenge to the client . However , the larger issue remains that Mallory could tell the client M-100 , collect the hash ( M-100 ) from the client , and then login up to 100 times with the intercepted hash . I'll have to go see if the project that I first encountered this in found the same issues and dealt with it or abandoned zero knowledge auth .	! , O V V P D N , D A N V V P V D N P R V G P V O P D N P D N , R , D A N V D ^ V V D N ^ , V D N , ^ , P D N , & R V T P $ N P D A N , L V P V V P D N P O R V D P V D A N & V P O & A $ N N ,
I think you're always going to be vulnerable to a man in the middle attack . Keyloggers too . Also drunken confessions of passwords . We can only raise the bar so far with reasonable coding efforts .	O V L R V P V A P D N P D A N , ^ R , R A N P N , O V R V D N R R P A N N ,
You can use gwt-crypto to generate SHA-1 hashes on the client side using :	O V V ^ P V ^ N P D N N V ,
You should never use an md5 or other hash functions for password encryption . See http://codahale.com/how-to-safely-store-a-password /	O V R V D ^ & A N N P N N , V U ,
TextMate equivalent to gVim Ctrl+P	^ N P ^ G
To auto complete a previously written string . Is it possible ? EDIT I'm editing javascript / java if that matters .	P R V D R A N , V O A , N L V ^ , ^ & O V ,
Yes - the autocomplete key is ' escape ' by default . See the TextMate manual for further information .	! , D N N V , V , P N , V D ^ N P A N ,
Thank you !!! it was driving me crazy !!! :) About the manual ... mhhhh ... mmhh well .. Beside having to write my own product user manual ( which I hate and usually I avoid ) do I have to read others them too ??? :) :) :) ;) Thanks again	V O , O V V O A , E R D N , G , G R , P V P V D A N N N , D O V & R O V , V O V P V N O R , E E E E N R
@Oscar - absolutely . RTFM , man .	@ , R , G , N ,
Also , Google " Textmate tips " - I seem to pick up something new in every blogpost I read about TM .	R , ^ , ^ N , , O V P V T N A P A N O V P G ,
Thanks for the hint . I didn't know about http://textmatetips.com .	N P D N , O V V P U ,
Has anyone used GWT and can say it really delivers what it promises ?	V O V ^ & V V O R V O O V ,
I am a long time Java web developer and as most web developers I have used quite a lot of JavaScript . Even though I don't hate JavaScript as many other Java developers , I am still aware of its faults . GWT is a way to write javascript using java . Since I know both languages for a long time I am pretty skeptical about this claim . I mean , I having a hard time believing that you can really create full Java dynamic web applications with a rich GUI using just GWT . That is why I am asking here if anyone had the chance to work with GWT on a large scale project . If so , I would really like to hear what they think of it .	O V D A N ^ N N & R A N N O V V R D N P ^ , R P O V V ^ R A A ^ N , O V R A P D N , ^ V D N P V ^ V ^ , & O V D N P D A N O V R A P D N , O V , O V D A N V P O V R V A ^ A N N P D A ^ V R ^ , O V R O V V R P O V D N P N P ^ P D A N N , P R , O V R R P V O O V P O ,
Why the close ? This looks like an interesting question to me ..	R D A , D V P D A N P O ,
Some people have the bad habit of clicking ' close ' if they just don't like the question . I don't think this is subjetive nor argumentative at all	D N V D A N P N , N , P O R V P D N , O V V D V A & A P X
Did you end up using GWT ? Did it deliver ?	V O V T V ^ , V O V ,
Hi Dave , No , finally I decided not using it . My final conclusion was that GWT seems like a really good product and the people who use it mostly love it . Nevertheless , I feel like since GWT has a totally different way of doing things , it is a product that once you start using it , you commit for life . And that is something I really stay away from . Thanks for asking .	! ^ , ! , R O V R V O , D A N V D ^ V P D R A N & D N O V O R V O , R , O V V P ^ V D R A N P V N , O V D N P R O V V O , O V P N , & O V N O R V R P , N P V ,
I've looked at it briefly for an older application at one of my jobs , and I must admit that it was very impressive . All the code was written in Java , and the javascript was built beautifully . It had AJAX , dynamic pages , the works . There are plugins for it as well , such as the Ext GWT framework . It's definitely worth looking into and trying out , but you may find that the development cycle doesn't " feel " right , so you might opt to use regular JavaScript .	L V P O R P D A N P $ P D N , & O V V P O V R A , X D N V V P ^ , & D ^ V V R , O V ^ , A N , D V , X V N P O R R , R P D ^ ^ N , L R A V P & V T , & O V V P D N N V , V , R , P O V V P V A ^ ,
good point about the dev environment " feel . " GWT is definitely only for those that enjoy / tolerate the constraints of a language like Java .	A N P D N N , V , , ^ V R A P O O V , V D N P D N P ^ ,
As with any tool , it needs to be used properly . One can wield a hammer skillfully and build something nice , or just wave it around at stuff and do more harm than good . Google Wave , I think , has become the prototype of " what's possible " with GWT . It's still rather hard to find good GWT design patterns because the technology is too new , so that can harm efforts to develop a very rich , large-scale web app in GWT . Before beginning such a project , I would recommend looking at examples of the model-view-presenter ( MVP ) pattern and be sure to use it , or something like it , as a foundation for the control flow of your web app . One nice thing about GWT , and writing your code in Java , is that the high degree of abstraction and decoupling necessary for a clean MVP implementation is pretty easy ( thanks to the compiler ) .	R P D N , O V P V V R , O V V D N R & V R A , & R V O P O N & V A N P A , ^ N , O V , V V D N P , L A , P ^ , L R R R P V A ^ N N P D N V R A , P O V V N P V D A A , A N N P ^ , P V A D N , O V V V P N P D A , N , N & V A P V O , & N P O , P D N P D N N P D N N , $ A N P ^ , & V D N P ^ , V P D A N P N & V A P D A ^ N V R A , N P D N , ,
